subject,category,question,options,correct,difficulty,source,id
Current Affairs,Constitutional Posts,Who is the current President of India (15th)?,"['Ram Nath Kovind', 'Droupadi Murmu', 'Pranab Mukherjee', 'APJ Abdul Kalam']",1,Easy,6-Month Current Affairs 2025,Q_0001
Current Affairs,Constitutional Posts,Who is the current Prime Minister of India (15th)?,"['Manmohan Singh', 'Narendra Modi', 'Atal Bihari Vajpayee', 'Rajiv Gandhi']",1,Easy,6-Month Current Affairs 2025,Q_0002
Current Affairs,Judiciary,Who is the current Chief Justice of Supreme Court (52nd)?,"['D.Y. Chandrachud', 'N.V. Ramana', 'B.R. Gavai', 'U.U. Lalit']",2,Medium,6-Month Current Affairs 2025,Q_0003
Current Affairs,Parliament,Who is Speaker of Lok Sabha (18th)?,"['Sumitra Mahajan', 'Om Birla', 'Meira Kumar', 'Somnath Chatterjee']",1,Medium,6-Month Current Affairs 2025,Q_0004
Current Affairs,Parliament,Who is Leader of Opposition in Lok Sabha?,"['Sonia Gandhi', 'Mallikarjun Kharge', 'Rahul Gandhi', 'Priyanka Gandhi']",2,Medium,6-Month Current Affairs 2025,Q_0005
Current Affairs,Parliament,Who is Deputy Speaker of Rajya Sabha?,"['Harivansh Narayan Singh', 'Om Birla', 'Sumitra Mahajan', 'Meira Kumar']",0,Medium,6-Month Current Affairs 2025,Q_0006
Current Affairs,Parliament,Who is Secretary General of Rajya Sabha?,"['Utpal Kumar Singh', 'Pramod Chandra Mody', 'Harivansh Singh', 'K.C. Venugopal']",1,Hard,6-Month Current Affairs 2025,Q_0007
Current Affairs,Parliament,Who is Leader of Opposition in Rajya Sabha?,"['Rahul Gandhi', 'Mallikarjun Kharge', 'Sonia Gandhi', 'Priyanka Gandhi']",1,Medium,6-Month Current Affairs 2025,Q_0008
Current Affairs,Parliament,Who is Leader of ruling party in Rajya Sabha?,"['Narendra Modi', 'J.P Nadda', 'Amit Shah', 'Rajnath Singh']",1,Medium,6-Month Current Affairs 2025,Q_0009
Current Affairs,Parliament,Who is Secretary General of Lok Sabha?,"['Pramod Chandra Mody', 'Utpal Kumar Singh', 'Harivansh Singh', 'Om Birla']",1,Hard,6-Month Current Affairs 2025,Q_0010
Current Affairs,Election Commission,Who is current Chief Election Commissioner (26th)?,"['S.Y. Quraishi', 'T.S. Krishnamurthy', 'Gyanesh Kumar', 'O.P. Rawat']",2,Medium,6-Month Current Affairs 2025,Q_0011
Current Affairs,Election Commission,Who are the current Election Commissioners?,"['Vivek Joshi & Sukhbir Sandhu', 'Gyanesh Kumar & Vivek Joshi', 'S.Y. Quraishi & T.S. Krishnamurthy', 'O.P. Rawat & Ashok Lavasa']",0,Hard,6-Month Current Affairs 2025,Q_0012
Current Affairs,Administration,Who is current CAG (15th)?,"['Rajiv Mehrishi', 'Sanjay Murthy', 'Shashi Kant Sharma', 'Vinod Rai']",1,Medium,6-Month Current Affairs 2025,Q_0013
